"","Alpha.1.Antichymotrypsin..AACT...ug.ml.","Alpha.1.Antitrypsin..AAT...mg.mL.","Angiotensin.Converting.Enzyme..ACE...ng.ml.","Adiponectin..ug.mL.","Angiopoietin.2..ANG.2...ng.mL.","Angiotensinogen..ng.mL.","Apolipoprotein.A.IV..Apo.A.IV...ug.ml.","Apolipoprotein.C.I..Apo.C.I...ng.ml.","Apolipoprotein.E..Apo.E...ug.ml.","Apolipoprotein.H..Apo.H...ug.mL.","AXL.Receptor.Tyrosine.Kinase..AXL...ng.mL.","Beta.2.Microglobulin..B2M...ug.mL.","Brain.Derived.Neurotrophic.Factor..BDNF...ng.mL.","Bone.Morphogenetic.Protein.6..BMP.6...ng.mL.","Complement.C3..C3...mg.mL.","Clusterin..CLU...ug.ml.","Complement.Factor.H..ug.ml.","Cortisol..Cortisol...ng.ml.","C.peptide..ng.ml.","Epidermal.Growth.Factor.Receptor..EGFR...ng.mL.","E.Selectin..ng.mL.","Factor.VII..ng.mL.","Fibrinogen..mg.mL.","Ferritin..FRTN...ng.mL.","Chemokine.CC.4..HCC.4...ng.mL.","Hepatocyte.Growth.Factor..HGF...ng.mL.","Immunoglobulin.A..IgA...mg.mL.","Insulin.like.Growth.Factor.Binding.Prote..ng.mL.","Interleukin.6.receptor..IL.6r...ng.mL.","Leptin..ng.mL.","Matrix.Metalloproteinase.9..total..MMP.9..ng.ml.","Neuronal.Cell.Adhesion.Molecule..Nr.CAM...ng.mL.","Osteopontin..ng.ml.","Plasminogen.Activator.Inhibitor.1..PAI.1..ng.mL.","Pulmonary.and.Activation.Regulated.Chemo..ng.mL.","Placenta.Growth.Factor..PLGF...pg.ml.","Prolactin..PRL...ng.ml.","Receptor.for.advanced.glycosylation.end..ng.mL.","T.Cell.Specific.Protein.RANTES..RANTES...ng.mL.","Resistin..ng.ml.","Serum.Amyloid.P.Component..SAP...ug.mL.","Superoxide.Dismutase.1..Soluble..SOD.1...ng.mL.","Sortilin..ng.mL.","Thyroxine.Binding.Globulin..TBG...ug.mL.","Thrombomodulin..TM...ng.ml.","Tumor.Necrosis.Factor.Receptor.Like.2..T..ng.mL.","TNF.Related.Apoptosis.Inducing.Ligand.Re..ng.mL.","Thyroid.Stimulating.Hormone...TSH...uIU.mL.","Transthyretin..TTR...mg.dl.","Vascular.Cell.Adhesion.Molecule.1..VCAM...ng.mL.","Vitamin.K.Dependent.Protein.S..VKDPS...ug.ml."
"Plasminogen.Activator.Inhibitor.1..PAI.1..ng.mL.",0.496431566107452,0.484797693670208,0.455867778722071,0.415987270475214,0.462320828706024,0.507226460122243,0.505381409927626,0.508180679797486,0.523486802736478,0.476113148204594,0.42552531402332,0.520504196130485,0.832261893461688,0.495213729506585,0.590349505487884,0.525870419926244,0.565915199835099,0.516618172541196,0.53512809305574,0.519030397439094,0.540878807986922,0.51377239335449,0.551958871773364,0.546236023429125,0.512933879477829,0.528203032514133,0.592383112483589,0.384641263033976,0.509559637025058,0.625313453556074,0.540492048827585,0.469861672540513,0.442925575635368,1,0.532634356792407,0.578345262716798,0.462764446654864,0.461944756655149,0.855891899150326,0.476970382994968,0.548912944507821,0.698351023110883,0.717686938764683,0.538206627420686,0.422910632098099,0.505890699416887,0.462227247602362,0.500818969588427,0.528603448447994,0.488125559600801,0.628464768996916
"Pulmonary.and.Activation.Regulated.Chemo..ng.mL.",0.551235635454716,0.554091315714767,0.509120582601846,0.473806394035668,0.598836267164959,0.512328658279204,0.507359416434146,0.466587358428809,0.539505590802997,0.549712377680504,0.542629304585578,0.683273311383845,0.490518872491437,0.520694832387596,0.569390645860177,0.523629883890727,0.551982799035223,0.553678806818295,0.578996439985449,0.419906529401302,0.550541045155492,0.463227915284555,0.624938732685753,0.528124805991497,0.57290110593569,0.785283022807007,0.531638669667644,0.548993384213139,0.537514467553952,0.542471583373701,0.579272806238077,0.520430865813356,0.600267996198581,0.532634356792407,1,0.539215539372654,0.531436444007737,0.505583587344131,0.486319953780768,0.63445287287989,0.595619063222169,0.513441710688563,0.574108381826295,0.548838163902559,0.579769083123406,0.671634994456202,0.587189790856524,0.53183059812255,0.495369057115208,0.613320114665692,0.544825918889964
"Placenta.Growth.Factor..PLGF...pg.ml.",0.502820582915577,0.462068278112283,0.483632376156044,0.506826048651671,0.55562909531138,0.546556714192815,0.449462973524735,0.444583987683897,0.526291535369706,0.472124281250311,0.50984208783893,0.538647505475586,0.551564090668508,0.55769508408658,0.523082528390583,0.535717831102712,0.545138772281372,0.538138322751499,0.5497287788008,0.55386692231412,0.522193042659761,0.495724792663959,0.505233460479173,0.524773751764106,0.548543931354506,0.529280894632395,0.539405388398546,0.529676489708804,0.520393189765912,0.573331976380877,0.509099710227017,0.557153750837448,0.552920917039785,0.578345262716798,0.539215539372654,1,0.525696785589237,0.538343368736646,0.543129785624312,0.539797525162675,0.479093970005275,0.51913985027848,0.55206769657653,0.494494232196823,0.509523489254127,0.538529115409842,0.54492831505983,0.535165898920362,0.551182784521843,0.555985214666503,0.549068714128679
"Prolactin..PRL...ng.ml.",0.500253587954095,0.464539958694705,0.524075689511282,0.495454151149635,0.598465887429731,0.478485578550091,0.487165969090282,0.444356657291698,0.529149894447905,0.536934064076796,0.564126602718307,0.575574573384621,0.465251350876347,0.527884466021757,0.476183221976552,0.489114686492589,0.48943979515406,0.579164097707679,0.547442066616356,0.517046156186938,0.525221411473812,0.528331253322855,0.49163085365832,0.441368366970994,0.573461258387458,0.551791903502572,0.47125884827404,0.531884988455736,0.515705342270698,0.545424499544244,0.502103659299726,0.573229046855099,0.597549710939094,0.462764446654864,0.531436444007737,0.525696785589237,1,0.545097920160236,0.481393178272294,0.55832983555032,0.482918269752721,0.541443235895306,0.52044060008778,0.470985688594304,0.605701518194995,0.575929548415077,0.524183463686955,0.583046992700773,0.475673869545164,0.558843166714806,0.497388147145334
"Receptor.for.advanced.glycosylation.end..ng.mL.",0.499869427257488,0.538171109403157,0.558435804241966,0.587978342622058,0.578876856974789,0.478528989292975,0.526582391024479,0.498567123929943,0.532283247991573,0.566137494045623,0.596613729367212,0.574514684668327,0.492608567645001,0.559400411692905,0.461559610808265,0.538686216424558,0.514507066493934,0.528946983385382,0.46727163545335,0.523343705845221,0.467903842659899,0.531128752062308,0.504305119928977,0.454850886611036,0.556716107443942,0.553726419767814,0.474886673913851,0.582451526152522,0.568047719890063,0.490367780274534,0.489880701955286,0.630526862761719,0.571203282657566,0.461944756655149,0.505583587344131,0.538343368736646,0.545097920160236,1,0.480569840105085,0.539380843311347,0.420841760337357,0.494390064193129,0.543461267048291,0.530200936031525,0.646741460756796,0.597233667878086,0.563862645093896,0.570931644523632,0.520425001098465,0.600638879816038,0.519249505207913
"T.Cell.Specific.Protein.RANTES..RANTES...ng.mL.",0.509038776819139,0.497255220899485,0.469708210927337,0.534681812834305,0.496422171061547,0.53069552217013,0.50455570696997,0.50459583950618,0.488889455756114,0.44689702006596,0.435833683072242,0.502674141146634,0.90476903251881,0.514508311939068,0.51770273699212,0.497231658582523,0.533679089405605,0.491450364511139,0.422815395535518,0.519702890068307,0.477087058342118,0.495781286957403,0.506835630846785,0.506077221716141,0.476639742392758,0.494286367089033,0.556123447968398,0.493003131294398,0.51157573237701,0.507032842642546,0.493007444806257,0.465592010730585,0.449175815229572,0.855891899150326,0.486319953780768,0.543129785624312,0.481393178272294,0.480569840105085,1,0.466063141073908,0.473443336244309,0.691088261164361,0.705317939256941,0.505136000184043,0.457651153092537,0.487405633488607,0.482045052588434,0.501220818606662,0.476538666268197,0.503229200681486,0.593077958339231
"Resistin..ng.ml.",0.543817723677752,0.531294316807952,0.522688732299829,0.483233142679517,0.605712252002102,0.522035270906876,0.489296752128777,0.428652191250361,0.532693654028764,0.558222139651906,0.635464598868147,0.715972009023869,0.494301382936744,0.523433427843596,0.532775067651747,0.507092160022425,0.557707021505796,0.543244173352957,0.605660608362601,0.469798554744193,0.569197923134758,0.555026669781274,0.569045784208003,0.506947784410316,0.611426562925968,0.662714070616221,0.52728693560845,0.556304907252922,0.559045202782389,0.5682697246954,0.598346833944264,0.554427037547077,0.605447737027526,0.476970382994968,0.63445287287989,0.539797525162675,0.55832983555032,0.539380843311347,0.466063141073908,1,0.556664852677942,0.494205048869019,0.550644210235264,0.549401019603795,0.688160148094192,0.720374163220075,0.652078135178355,0.493955839059122,0.501748853765217,0.651411868915817,0.511420207317716
"Serum.Amyloid.P.Component..SAP...ug.mL.",0.58359000463659,0.602413167451879,0.488917347360529,0.399093518876966,0.548552544031025,0.524044804994679,0.531650831071917,0.519603309766667,0.61300254740672,0.637193864801525,0.428270432545892,0.604490606443621,0.478405505795173,0.53024060793669,0.731336272828244,0.62130605565598,0.580907091138267,0.519924469484601,0.555061892878719,0.541579431438684,0.576775542807502,0.596447277414518,0.724192090503751,0.556492463178995,0.597833044951413,0.61677547148564,0.57421541517406,0.444540271899805,0.523381529482334,0.577273708836234,0.558569772607658,0.496491398637371,0.482736999458869,0.548912944507821,0.595619063222169,0.479093970005275,0.482918269752721,0.420841760337357,0.473443336244309,0.556664852677942,1,0.539574014003715,0.504337169196953,0.682097390682188,0.545038466675576,0.583324929375301,0.511494909694787,0.453955863644038,0.553076040500164,0.461335207880887,0.665317548234795
"Superoxide.Dismutase.1..Soluble..SOD.1...ng.mL.",0.49997513576848,0.483151511482941,0.500896258823267,0.461455040235955,0.532380495683901,0.454430632847641,0.492395785712236,0.49338327006683,0.528817560283977,0.471110052909496,0.474367490272134,0.5211227471773,0.714323008086913,0.517027856390789,0.533055195951282,0.489451393386211,0.547423549352955,0.497462810411667,0.473284875834809,0.53076129062814,0.510053072528713,0.55916735379508,0.524847513750353,0.516918353647654,0.536030573173301,0.529461183065199,0.504404899282275,0.484915767995663,0.533663796456182,0.531827778427809,0.594660424252156,0.518358153713376,0.499474262759961,0.698351023110883,0.513441710688563,0.51913985027848,0.541443235895306,0.494390064193129,0.691088261164361,0.494205048869019,0.539574014003715,1,0.672905417206728,0.510259232317821,0.495203320827403,0.515763382376755,0.470837665430296,0.511310013478788,0.486889195505829,0.479483317319909,0.580146285193694
"Sortilin..ng.mL.",0.487860083303566,0.531123483224759,0.523487673615102,0.489947590389333,0.566856948486667,0.529266780249877,0.47920563320641,0.537974142163318,0.571024400846928,0.492721757653057,0.530095779412003,0.580782529090282,0.677204347016552,0.539408104322636,0.5691428196205,0.556290971353078,0.536362470260094,0.49690052373903,0.546455021076044,0.524944377288087,0.559988236999366,0.537938961948082,0.553411908282654,0.525009804666599,0.56555953719144,0.601199671383705,0.517404273302414,0.495453253775068,0.549182032887056,0.571103478027433,0.555422604367355,0.603393483131043,0.530733144983655,0.717686938764683,0.574108381826295,0.55206769657653,0.52044060008778,0.543461267048291,0.705317939256941,0.550644210235264,0.504337169196953,0.672905417206728,1,0.529744439411203,0.520740065625888,0.577645988450916,0.491729588068565,0.504052987147575,0.564890008911783,0.608955897190502,0.632803831767684
